EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
45.419,354.957,37.199,-64.690,77.351,254.746,344.712,17.299,-0.027,0.917,-0.451,0.336,-0.824,-0.488,73.333,30273.000,1.000
44.883,302.517,35.107,-51.809,60.746,224.844,283.852,-2.173,-0.027,0.917,-0.448,0.305,-0.977,-0.610,73.333,30274.000,1.000
45.422,246.584,32.539,-37.358,45.982,193.090,221.840,-16.290,-0.029,0.916,-0.451,0.336,-1.007,-0.610,73.333,30275.000,1.000
46.680,195.666,29.538,-21.818,35.227,164.888,168.357,-22.848,-0.029,0.916,-0.450,0.427,-1.099,-0.702,73.333,30276.000,1.000
47.607,151.797,26.310,-6.217,27.807,141.547,125.837,-22.580,-0.028,0.917,-0.455,0.519,-1.190,-0.763,73.333,30277.000,1.000
47.211,112.962,23.199,7.309,21.670,121.515,92.027,-17.901,-0.028,0.917,-0.453,0.641,-1.343,-0.824,73.333,30278.000,1.000
44.993,76.718,20.560,15.817,14.925,102.431,62.754,-12.182,-0.028,0.919,-0.451,0.610,-1.343,-0.824,73.333,30279.000,1.000
40.948,41.607,18.608,17.162,6.703,82.923,35.157,-7.976,-0.025,0.921,-0.448,0.610,-1.495,-0.916,73.333,30280.000,1.000
35.512,7.418,17.250,11.251,-3.092,62.743,7.467,-6.938,-0.024,0.924,-0.448,0.702,-1.465,-0.885,73.333,30281.000,1.000
29.540,-24.999,15.996,0.090,-14.100,42.364,-21.120,-9.553,-0.023,0.924,-0.450,0.732,-1.587,-0.793,73.333,30282.000,1.000
24.057,-54.029,14.116,-13.257,-25.523,22.780,-49.873,-14.921,-0.025,0.924,-0.449,0.671,-1.556,-0.763,73.333,30283.000,1.000
19.819,-77.567,11.120,-26.150,-36.213,4.998,-77.620,-22.034,-0.024,0.924,-0.455,0.610,-1.526,-0.702,73.333,30284.000,1.000
16.952,-94.295,7.059,-37.151,-44.857,-10.362,-102.769,-29.912,-0.025,0.923,-0.452,0.610,-1.587,-0.580,73.333,30285.000,1.000
15.063,-104.411,2.693,-45.902,-50.546,-23.454,-124.797,-38.328,-0.026,0.921,-0.454,0.732,-1.495,-0.488,73.333,30286.000,1.000
13.510,-109.666,-0.593,-52.331,-52.958,-34.776,-144.105,-47.236,-0.024,0.921,-0.452,0.732,-1.434,-0.458,73.333,30287.000,1.000
11.518,-112.710,-1.782,-56.425,-52.403,-44.873,-161.046,-56.199,-0.024,0.921,-0.452,0.702,-1.587,-0.458,73.333,30288.000,1.000
8.544,-115.296,-1.108,-58.302,-49.677,-54.301,-176.353,-65.128,-0.023,0.923,-0.450,0.732,-1.526,-0.427,73.333,30289.000,1.000
4.739,-117.422,0.224,-57.649,-45.535,-62.948,-189.830,-73.353,-0.023,0.921,-0.452,0.732,-1.556,-0.336,73.333,30290.000,1.000
0.840,-117.922,0.911,-53.802,-40.738,-70.407,-201.224,-80.153,-0.023,0.922,-0.451,0.641,-1.495,-0.366,73.333,30291.000,1.000
-2.348,-116.238,0.218,-46.479,-36.074,-76.656,-210.659,-85.053,-0.022,0.921,-0.449,0.488,-1.465,-0.305,73.333,30292.000,1.000
-4.326,-113.506,-1.914,-36.547,-32.225,-82.243,-218.185,-87.538,-0.027,0.917,-0.450,0.519,-1.617,-0.305,73.333,30293.000,1.000
