EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-74.562,-89.842,-88.575,-46.527,-74.940,-123.574,-139.758,-131.924,-0.032,0.906,-0.463,1.312,0.183,-0.366,73.333,18425.000,1.000
-74.867,-94.330,-90.047,-52.849,-77.964,-125.905,-144.372,-133.487,-0.033,0.908,-0.464,1.495,0.305,-0.366,73.333,18426.000,1.000
-74.056,-97.831,-89.969,-59.183,-80.783,-124.642,-147.482,-130.935,-0.031,0.911,-0.463,1.587,0.397,-0.305,73.333,18427.000,1.000
-73.014,-99.685,-87.958,-64.232,-83.072,-119.777,-148.410,-123.920,-0.031,0.913,-0.463,1.678,0.336,-0.336,73.333,18428.000,1.000
-72.867,-100.218,-85.076,-67.916,-84.893,-112.601,-147.412,-112.996,-0.031,0.911,-0.462,1.526,0.305,-0.488,73.333,18429.000,1.000
-74.266,-100.790,-83.457,-71.345,-86.601,-105.411,-145.708,-99.704,-0.031,0.914,-0.462,1.617,0.336,-0.458,73.333,18430.000,1.000
-76.754,-102.726,-84.670,-75.546,-88.312,-100.001,-143.997,-85.293,-0.032,0.914,-0.461,1.556,0.305,-0.427,73.333,18431.000,1.000
-78.937,-105.822,-88.349,-80.542,-89.699,-96.556,-142.532,-70.721,-0.031,0.912,-0.463,1.556,0.427,-0.305,73.333,18432.000,1.000
-79.470,-108.747,-92.516,-85.278,-90.179,-93.566,-140.338,-56.220,-0.033,0.913,-0.464,1.587,0.427,-0.366,73.333,18433.000,1.000
-77.727,-110.017,-94.928,-88.346,-89.302,-89.119,-136.312,-42.051,-0.034,0.913,-0.465,1.648,0.458,-0.427,73.333,18434.000,1.000
-73.901,-108.762,-94.301,-88.731,-86.879,-82.111,-129.984,-28.711,-0.033,0.916,-0.464,1.526,0.458,-0.427,73.333,18435.000,1.000
-68.939,-105.057,-90.864,-86.207,-83.128,-72.774,-121.471,-16.762,-0.032,0.917,-0.464,1.465,0.305,-0.336,73.333,18436.000,1.000
-64.304,-99.530,-86.042,-81.418,-78.786,-62.782,-112.270,-7.612,-0.031,0.918,-0.464,1.465,0.275,-0.244,73.333,18437.000,1.000
-61.532,-93.498,-81.665,-75.492,-74.780,-54.343,-103.651,-2.362,-0.032,0.917,-0.465,1.404,0.275,-0.183,73.333,18438.000,1.000
-61.673,-88.586,-79.176,-69.789,-71.982,-49.393,-96.451,-1.465,-0.031,0.916,-0.464,1.404,0.244,-0.214,73.333,18439.000,1.000
-64.746,-86.016,-79.111,-65.532,-70.846,-48.802,-90.988,-4.571,-0.031,0.915,-0.462,1.312,0.214,-0.183,73.333,18440.000,1.000
-69.481,-86.084,-80.941,-63.258,-71.172,-51.892,-86.622,-10.490,-0.033,0.916,-0.463,1.160,0.214,-0.183,73.333,18441.000,1.000
-73.766,-87.949,-83.308,-62.706,-72.333,-56.993,-82.873,-18.454,-0.033,0.916,-0.465,1.190,0.122,-0.153,73.333,18442.000,1.000
-75.858,-90.735,-85.030,-63.223,-73.580,-62.187,-78.824,-27.749,-0.032,0.916,-0.463,1.099,0.122,-0.183,73.333,18443.000,1.000
-75.313,-94.100,-86.051,-64.449,-74.477,-66.362,-73.981,-37.908,-0.033,0.914,-0.468,0.977,0.031,-0.244,73.333,18444.000,1.000
-72.954,-98.189,-87.257,-66.185,-75.043,-69.431,-68.732,-48.395,-0.033,0.914,-0.465,0.977,-0.031,-0.305,73.333,18445.000,1.000
-70.173,-103.533,-89.625,-68.018,-75.562,-71.620,-63.548,-58.001,-0.033,0.914,-0.465,1.038,-0.061,-0.214,73.333,18446.000,1.000
-67.937,-110.158,-93.314,-69.455,-76.128,-72.990,-59.093,-65.631,-0.032,0.914,-0.466,1.038,0.000,-0.305,73.333,18447.000,1.000
-66.138,-116.898,-96.988,-69.716,-76.061,-72.819,-54.531,-69.811,-0.032,0.916,-0.465,1.007,-0.122,-0.275,73.333,18448.000,1.000
-63.919,-121.400,-98.077,-67.888,-74.280,-69.844,-48.054,-69.420,-0.031,0.913,-0.468,0.946,-0.092,-0.183,73.333,18449.000,1.000
-60.739,-121.744,-94.426,-63.713,-70.450,-63.457,-38.425,-64.563,-0.029,0.911,-0.467,0.916,-0.122,-0.153,73.333,18450.000,1.000
-57.052,-118.099,-86.157,-58.202,-65.663,-54.828,-25.913,-56.653,-0.030,0.911,-0.463,0.916,-0.214,-0.092,73.333,18451.000,1.000
-53.813,-112.083,-75.804,-53.256,-61.788,-46.840,-13.279,-48.496,-0.032,0.908,-0.467,0.916,-0.183,-0.092,73.333,18452.000,1.000
-51.621,-105.474,-66.768,-50.247,-60.001,-42.145,-3.460,-42.380,-0.032,0.908,-0.463,0.946,-0.183,0.000,73.333,18453.000,1.000
-50.317,-99.179,-61.436,-49.134,-60.256,-41.627,1.640,-39.537,-0.030,0.907,-0.464,1.038,-0.183,-0.092,73.333,18454.000,1.000
-49.037,-93.154,-60.071,-48.524,-61.467,-44.012,1.780,-39.815,-0.031,0.908,-0.466,1.007,-0.275,-0.122,73.333,18455.000,1.000
-46.739,-87.048,-60.992,-46.583,-62.013,-46.578,-1.266,-41.382,-0.031,0.908,-0.466,1.129,-0.244,-0.092,73.333,18456.000,1.000
-42.961,-80.521,-61.709,-42.416,-60.596,-46.939,-5.630,-42.461,-0.034,0.909,-0.467,1.251,-0.336,-0.061,73.333,18457.000,1.000
-38.085,-73.639,-60.210,-36.457,-56.733,-44.004,-9.515,-41.820,-0.033,0.910,-0.469,1.160,-0.427,-0.183,73.333,18458.000,1.000
-32.856,-66.519,-55.695,-29.962,-50.844,-38.102,-12.069,-39.473,-0.033,0.912,-0.467,1.282,-0.397,-0.214,73.333,18459.000,1.000
-27.785,-59.056,-48.669,-24.045,-43.787,-30.349,-13.474,-36.392,-0.035,0.915,-0.466,1.312,-0.519,-0.336,73.333,18460.000,1.000
-23.217,-51.444,-40.805,-19.112,-36.547,-22.105,-14.125,-33.612,-0.036,0.917,-0.464,1.221,-0.610,-0.397,73.333,18461.000,1.000
-19.770,-44.777,-34.684,-15.409,-30.383,-15.305,-15.484,-32.732,-0.039,0.918,-0.464,1.099,-0.763,-0.397,73.333,18462.000,1.000
-18.219,-41.144,-32.786,-13.304,-26.354,-11.724,-18.644,-34.389,-0.041,0.920,-0.468,1.068,-0.916,-0.549,73.333,18463.000,1.000
-18.711,-41.867,-35.664,-12.746,-24.503,-11.350,-23.434,-37.150,-0.039,0.922,-0.469,0.885,-1.129,-0.610,73.333,18464.000,1.000
-20.468,-46.163,-41.124,-12.750,-23.743,-11.639,-28.223,-37.789,-0.037,0.921,-0.466,0.763,-1.129,-0.702,73.333,18465.000,1.000
-22.474,-52.057,-45.794,-12.095,-22.872,-9.198,-30.706,-33.091,-0.035,0.920,-0.464,0.580,-1.221,-0.793,73.333,18466.000,1.000
-24.125,-57.893,-47.555,-10.772,-21.678,-2.726,-30.551,-22.653,-0.033,0.921,-0.467,0.488,-1.373,-0.763,73.333,18467.000,1.000
-25.296,-63.306,-46.509,-10.101,-20.770,6.234,-28.759,-8.297,-0.032,0.923,-0.464,0.336,-1.373,-0.916,73.333,18468.000,1.000
-26.243,-68.499,-43.936,-11.553,-20.881,14.670,-26.689,7.229,-0.032,0.923,-0.464,0.244,-1.465,-0.885,73.333,18469.000,1.000
