EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
177.619,395.719,197.401,47.835,649.774,135.932,245.956,47.814,-0.035,0.986,-0.215,1.160,-0.641,-0.214,80.000,39625.000,1.000
260.173,537.821,329.217,64.835,861.693,194.109,359.660,69.981,-0.033,0.986,-0.210,1.190,-0.641,-0.275,80.000,39626.000,1.000
332.875,669.477,458.599,78.370,1068.137,246.747,467.694,87.836,-0.035,0.988,-0.210,1.099,-0.580,-0.214,80.000,39627.000,1.000
370.784,746.567,552.948,83.485,1214.843,279.369,536.830,93.225,-0.035,0.988,-0.206,1.099,-0.580,-0.336,80.000,39628.000,1.000
359.921,741.445,589.141,78.497,1263.475,283.104,545.374,83.395,-0.036,0.988,-0.207,1.038,-0.610,-0.458,80.000,39629.000,1.000
303.873,656.535,562.895,65.388,1204.815,258.749,493.139,62.392,-0.035,0.989,-0.209,1.038,-0.580,-0.366,80.000,39630.000,1.000
220.947,521.469,488.401,48.479,1060.192,215.768,400.097,38.288,-0.036,0.990,-0.211,0.885,-0.488,-0.488,80.000,39631.000,1.000
135.029,377.475,390.907,32.596,873.174,167.322,296.308,18.921,-0.034,0.990,-0.212,0.946,-0.580,-0.488,80.000,39632.000,1.000
63.783,257.003,293.635,20.261,689.437,123.933,206.416,7.784,-0.034,0.988,-0.209,0.946,-0.549,-0.488,80.000,39633.000,1.000
13.627,172.593,210.170,11.992,537.860,90.493,141.669,3.721,-0.035,0.988,-0.207,0.824,-0.458,-0.610,80.000,39634.000,1.000
-19.152,118.258,142.722,6.648,422.547,66.454,99.625,2.850,-0.037,0.989,-0.209,0.732,-0.427,-0.641,80.000,39635.000,1.000
-42.429,80.137,86.451,2.423,330.974,48.308,70.640,2.182,-0.038,0.989,-0.205,0.824,-0.519,-0.641,80.000,39636.000,1.000
-61.591,47.494,36.607,-1.476,250.048,32.775,46.542,1.610,-0.037,0.989,-0.207,0.793,-0.519,-0.641,80.000,39637.000,1.000
-78.405,15.573,-9.460,-5.013,173.077,18.329,22.957,2.050,-0.037,0.988,-0.207,0.824,-0.366,-0.702,80.000,39638.000,1.000
-92.298,-16.514,-51.820,-7.186,98.356,5.314,-0.775,4.077,-0.037,0.989,-0.207,0.793,-0.397,-0.702,80.000,39639.000,1.000
-103.174,-49.060,-89.866,-7.622,24.170,-5.452,-24.302,6.699,-0.038,0.990,-0.209,0.854,-0.458,-0.702,80.000,39640.000,1.000
-111.693,-81.691,-122.979,-7.037,-51.407,-13.524,-47.211,8.091,-0.039,0.988,-0.208,0.763,-0.549,-0.671,80.000,39641.000,1.000
-117.751,-111.965,-149.553,-6.117,-126.723,-18.792,-67.837,7.757,-0.040,0.987,-0.210,0.641,-0.488,-0.580,80.000,39642.000,1.000
-121.490,-137.407,-169.257,-5.675,-198.095,-21.824,-85.296,6.385,-0.039,0.988,-0.212,0.641,-0.610,-0.580,80.000,39643.000,1.000
-123.243,-157.312,-183.053,-5.584,-262.598,-23.345,-99.613,5.199,-0.041,0.986,-0.214,0.641,-0.763,-0.580,80.000,39644.000,1.000
-124.028,-173.685,-193.082,-5.295,-320.590,-23.876,-111.964,4.741,-0.042,0.985,-0.215,0.702,-0.763,-0.641,80.000,39645.000,1.000
-124.931,-189.485,-201.473,-4.371,-374.587,-23.374,-123.679,4.906,-0.042,0.987,-0.212,0.824,-0.793,-0.549,80.000,39646.000,1.000
-125.744,-205.779,-208.626,-2.449,-425.590,-21.372,-134.482,5.320,-0.040,0.987,-0.216,0.916,-0.916,-0.610,80.000,39647.000,1.000
-126.393,-222.246,-215.250,-0.367,-473.504,-18.283,-144.342,4.444,-0.039,0.988,-0.212,0.946,-0.977,-0.580,80.000,39648.000,1.000
-127.133,-238.235,-222.108,0.803,-516.576,-15.594,-153.410,1.064,-0.039,0.989,-0.209,0.824,-1.007,-0.549,80.000,39649.000,1.000
-128.776,-253.927,-229.716,0.013,-551.029,-15.408,-162.499,-4.259,-0.038,0.990,-0.207,0.793,-1.007,-0.427,80.000,39650.000,1.000
-131.742,-269.490,-237.432,-3.109,-572.488,-19.177,-172.433,-9.266,-0.035,0.989,-0.210,0.732,-0.854,-0.305,80.000,39651.000,1.000
-134.809,-283.327,-242.354,-7.329,-579.533,-26.503,-182.145,-11.723,-0.035,0.989,-0.208,0.641,-0.824,-0.275,80.000,39652.000,1.000
-136.641,-293.147,-242.285,-11.214,-577.598,-35.895,-190.464,-11.565,-0.036,0.989,-0.207,0.732,-0.854,-0.214,80.000,39653.000,1.000
-136.163,-297.202,-236.744,-13.534,-574.119,-45.987,-196.516,-10.174,-0.036,0.992,-0.210,0.549,-0.732,-0.183,80.000,39654.000,1.000
-133.509,-295.784,-227.656,-14.137,-571.705,-56.575,-200.677,-9.673,-0.037,0.989,-0.209,0.488,-0.793,-0.092,80.000,39655.000,1.000
-129.550,-290.385,-218.053,-13.468,-566.788,-67.823,-203.827,-11.224,-0.036,0.992,-0.212,0.366,-0.793,-0.061,80.000,39656.000,1.000
-124.150,-281.428,-209.006,-11.321,-554.461,-78.614,-205.001,-13.182,-0.037,0.993,-0.210,0.244,-0.854,-0.031,80.000,39657.000,1.000
